time_step,semantic_scenario_key,semantic_param_path,scenario_name,action_value,prior_action,score,env_reward,planning_time_seconds,method,price_weight,carbon_weight,low_q,high_q,smooth_weight,peak_charge_penalty_weight
78,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.22659641802815825,-6.71248322725296,0.13016605377197266,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
79,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.2557881010510137,-2.66021665930748,0.12939190864562988,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
80,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.292877125939934,-1.5109499245882034,0.12418007850646973,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
81,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.3053202450712471,-0.6358332559466362,0.131242036819458,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
82,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.3177890342938766,-1.0335166901350021,0.13053584098815918,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
83,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.34794670882105283,0.0,0.13840627670288086,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
84,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.3520742934792592,0.0,0.14026331901550293,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
85,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.34672365455319326,0.0,0.13408303260803223,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
86,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.3454298053237098,-2.8270500898361206,0.1320481300354004,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
87,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.36074797468245656,-0.695266455411911,0.13156485557556152,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
88,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.8946851085799454,-0.20825009047985077,0.1627490520477295,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
89,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.8983834322666946,-2.306600123643875,0.15658307075500488,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
90,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.897200905240847,-5.997616291046143,0.16350269317626953,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
91,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.8744206787319723,-9.237399868667126,0.14906811714172363,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
92,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.8662860268757862,-6.255639404058456,0.17003297805786133,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
